,選手ID,スターティングフラグ,プレイタイム,得点,3P成功,3P試投,2P成功,2P試投,ダンク,フリースロー成功,フリースロー試投,ファウル,被ファウル,オフェンスリバウンド,ディフェンスリバウンド,トータルリバウンド,ターンオーバ,アシスト,スティール,ブロックショット,被ブロックショット,ファストブレイクポイント,ポイントフロムターンオーバー,2Pインサイドポイント,セカンドチャンスポイント,6man,period
472,10842,46,28368,143,26,68,20,53,0,25,28,51,33,12,58,70,12,11,9,6,7,14,6,34,8,0,81
473,10843,60,30491,243,0,3,104,225,16,35,75,58,70,83,114,197,18,14,18,29,11,16,24,186,54,0,75
474,10844,5,5308,26,6,17,2,12,0,4,8,8,4,5,8,13,6,6,5,0,1,0,0,0,0,0,33
475,10845,44,30376,137,24,84,23,67,0,19,29,51,28,18,36,54,30,49,14,4,3,8,20,40,7,0,88
476,10848,28,25084,114,12,31,31,63,0,16,23,42,28,20,29,49,19,29,23,3,4,20,22,52,11,0,84
477,10850,10,7588,28,7,14,1,14,0,5,7,14,9,5,5,10,5,7,5,0,1,0,6,2,3,0,40
478,10851,3,3804,5,1,3,1,3,0,0,1,7,2,1,2,3,4,15,2,0,0,0,0,2,0,0,23
479,10852,18,11170,63,8,29,13,39,0,13,16,22,13,6,10,16,16,12,10,4,7,6,7,22,2,0,46
480,10872,16,10805,42,7,23,10,23,0,1,3,22,4,3,10,13,8,2,0,2,6,4,5,8,0,0,52
481,10873,58,30874,61,0,0,28,62,0,5,10,65,12,40,44,84,10,8,6,5,5,0,2,40,24,0,70
482,10874,0,202,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
483,10875,40,33083,267,11,57,98,225,13,38,59,50,53,80,148,228,22,17,8,17,17,6,20,162,71,0,93
484,10877,0,116,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1
485,10878,1,270,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
486,10880,4,3317,9,1,5,2,5,0,2,2,5,4,3,5,8,3,2,3,0,1,0,0,2,0,0,13
487,10881,46,23639,78,2,12,30,85,0,12,19,46,18,25,48,73,14,14,10,8,7,8,4,32,6,0,77
488,10882,53,30275,264,32,126,65,128,5,38,49,42,46,31,116,147,44,26,28,20,9,37,27,112,20,0,87
489,10883,3,4665,32,1,6,13,25,0,3,4,4,6,0,9,9,2,4,7,1,0,12,11,16,0,0,14
490,10884,24,17821,66,2,14,29,63,0,2,8,43,11,17,29,46,17,9,4,2,4,8,4,52,6,0,59
491,10886,54,34808,337,17,42,104,175,20,78,88,62,69,44,152,196,24,24,9,16,3,8,21,156,44,0,110
492,10887,42,20718,101,0,0,44,90,8,13,17,52,33,38,65,103,20,20,13,10,9,4,8,86,20,0,79
493,10890,0,424,2,0,2,1,1,0,0,0,0,1,1,1,2,0,1,0,0,0,2,0,0,0,0,1
494,10891,2,2806,14,0,2,5,10,0,4,4,10,5,2,6,8,7,1,2,1,0,6,2,8,0,0,18
495,10892,31,16942,84,23,63,7,21,0,1,5,22,10,1,23,24,9,2,5,0,3,4,13,6,6,0,60
496,10893,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
497,10894,12,9437,41,11,25,3,4,0,2,4,13,4,5,9,14,5,12,3,1,0,5,5,4,3,0,27
498,10895,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
499,10896,0,99,1,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
500,10897,42,28012,312,25,47,86,154,7,65,82,48,75,45,109,154,40,43,11,4,6,8,16,122,39,0,79
501,10898,0,902,3,1,6,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,7
